Esercizio Finanziario;Codice Tipologia Soggetto;Descrizione Tipologia Soggetto;Codice BDAP;Denominazione Soggetto;CF Soggetto;Data Cessazione Soggetto;Codice Zona Geografica;Descrizione Zona Geografica;Codice Regione;Descrizione Regione;Codice Provincia;Descrizione Provincia;Codice Comune;Descrizione Comune;Codice Titolo Entrata Arconet;Desc Titolo Entrata Arconet;Cod Tipologia Entrata Arconet;Desc Tipologia Entrata Arconet;Residui Attivi Iniziali;Riscos. in CR;Riacc. Res.;Res. Att. In CR;Pre.  Def. in CC;Riscos. in CC;Accert. in CC;Magg. o min. entr. di CC;Res. Att. In CC;Pre.  Def. Di Cassa;Tot. Riscos.;Magg. o min. entr. di Cassa;Res. Att. da riportare tot.;Unnamed: 32
2023;ELCOMU;COMUNI;803742930445520301;COMUNE DI MONTEROTONDO;80140110588.0;;3;CENTRO;12;LAZIO;58;ROMA;65;MONTEROTONDO;4;ENTRATE IN CONTO CAPITALE;400;Entrate da alienazione di beni materiali e immateriali;222844.19;;;222844.19;1188189.98;279348.99;285684.03;-902505.95;6335.04;1031493.98;279348.99;-752144.99;229179.23;
2023;ELCOMU;COMUNI;803742930445520301;COMUNE DI MONTEROTONDO;80140110588.0;;3;CENTRO;12;LAZIO;58;ROMA;65;MONTEROTONDO;4;ENTRATE IN CONTO CAPITALE;100;Tributi in conto capitale;;;;;70000.0;74435.3;74435.3;4435.3;;74435.3;74435.3;;;
2023;ELCOMU;COMUNI;803742930445520301;COMUNE DI MONTEROTONDO;80140110588.0;;3;CENTRO;12;LAZIO;58;ROMA;65;MONTEROTONDO;9;ENTRATE PER CONTO TERZI E PARTITE DI GIRO;100;Entrate per partite di giro;889474.48;;-889474.48;;23700000.0;1930864.13;2004524.27;-21695475.73;73660.14;17212633.0;1930864.13;-15281768.87;73660.14;
2023;ELCOMU;COMUNI;803742930445520301;COMUNE DI MONTEROTONDO;80140110588.0;;3;CENTRO;12;LAZIO;58;ROMA;65;MONTEROTONDO;1;ENTRATE CORRENTI DI NATURA TRIBUTARIA, CONTRIBUTIVA E PEREQUATIVA;301;Fondi perequativi da Amministrazioni Centrali;7997.84;;-7997.84;;5296131.96;5285210.02;5296131.96;;10921.94;5285210.02;5285210.02;;10921.94;
2023;ELCOMU;COMUNI;803742930445520301;COMUNE DI MONTEROTONDO;80140110588.0;;3;CENTRO;12;LAZIO;58;ROMA;65;MONTEROTONDO;3;ENTRATE EXTRATRIBUTARIE;100;Vendita di beni e servizi e proventi derivanti dalla gestione dei beni;1871156.22;962927.27;-224070.84;684158.11;2838221.0;1700876.78;2419064.35;-419156.65;718187.57;3690336.68;2663804.05;-1026532.63;1402345.68;
2023;ELCOMU;COMUNI;803742930445520301;COMUNE DI MONTEROTONDO;80140110588.0;;3;CENTRO;12;LAZIO;58;ROMA;65;MONTEROTONDO;3;ENTRATE EXTRATRIBUTARIE;500;Rimborsi e altre entrate correnti;2077940.59;437524.79;-238412.49;1402003.31;1602680.9;710081.17;1095854.85;-506826.05;385773.68;2676853.44;1147605.96;-1529247.48;1787776.99;
2023;ELCOMU;COMUNI;803742930445520301;COMUNE DI MONTEROTONDO;80140110588.0;;3;CENTRO;12;LAZIO;58;ROMA;65;MONTEROTONDO;4;ENTRATE IN CONTO CAPITALE;300;Altri trasferimenti in conto capitale;14118.05;;-14118.05;;50000.0;64428.31;64428.31;14428.31;;74311.31;64428.31;-9883.0;;
2023;ELCOMU;COMUNI;803742930445520301;COMUNE DI MONTEROTONDO;80140110588.0;;3;CENTRO;12;LAZIO;58;ROMA;65;MONTEROTONDO;7;ANTICIPAZIONI DA ISTITUTO TESORIERE/CASSIERE;100;Anticipazioni da istituto tesoriere/cassiere;;;;;10000000.0;;;-10000000.0;;7000000.0;;-7000000.0;;
2023;ELCOMU;COMUNI;803742930445520301;COMUNE DI MONTEROTONDO;80140110588.0;;3;CENTRO;12;LAZIO;58;ROMA;65;MONTEROTONDO;4;ENTRATE IN CONTO CAPITALE;200;Contributi agli investimenti;35811687.2;2763839.59;-3639156.18;29408691.43;9746307.36;1085138.52;2767456.9;-6978850.46;1682318.38;25357897.14;3848978.11;-21508919.03;31091009.81;
2023;ELCOMU;COMUNI;803742930445520301;COMUNE DI MONTEROTONDO;80140110588.0;;3;CENTRO;12;LAZIO;58;ROMA;65;MONTEROTONDO;9;ENTRATE PER CONTO TERZI E PARTITE DI GIRO;200;Entrate per conto terzi;24424.79;;-24424.79;;4550000.0;2696909.18;2943054.85;-1606945.15;246145.67;3668250.89;2696909.18;-971341.71;246145.67;
2023;ELCOMU;COMUNI;803742930445520301;COMUNE DI MONTEROTONDO;80140110588.0;;3;CENTRO;12;LAZIO;58;ROMA;65;MONTEROTONDO;1;ENTRATE CORRENTI DI NATURA TRIBUTARIA, CONTRIBUTIVA E PEREQUATIVA;101;Imposte tasse e proventi assimilati;14746517.19;2372220.25;-2523.74;12371773.2;20392924.02;17281229.29;20540692.33;147768.31;3259463.04;22420783.82;19653449.54;-2767334.28;15631236.24;
2023;ELCOMU;COMUNI;803742930445520301;COMUNE DI MONTEROTONDO;80140110588.0;;3;CENTRO;12;LAZIO;58;ROMA;65;MONTEROTONDO;3;ENTRATE EXTRATRIBUTARIE;300;Interessi attivi;;;;;3100.0;1577.87;1577.87;-1522.13;;2343.98;1577.87;-766.11;;
2023;ELCOMU;COMUNI;803742930445520301;COMUNE DI MONTEROTONDO;80140110588.0;;3;CENTRO;12;LAZIO;58;ROMA;65;MONTEROTONDO;3;ENTRATE EXTRATRIBUTARIE;200;Proventi derivanti dall'attivita' di controllo e repressione delle irregolarita' e degli illeciti;1035724.21;308827.04;;726897.17;1065900.0;510904.56;1023943.89;-41956.11;513039.33;1460505.12;819731.6;-640773.52;1239936.5;
2023;ELCOMU;COMUNI;803742930445520301;COMUNE DI MONTEROTONDO;80140110588.0;;3;CENTRO;12;LAZIO;58;ROMA;65;MONTEROTONDO;2;TRASFERIMENTI CORRENTI;101;Trasferimenti correnti da Amministrazioni pubbliche;3001866.78;668211.27;-219052.04;2114603.47;10807206.67;6348793.51;9592411.92;-1214794.75;3243618.41;10624520.14;7017004.78;-3607515.36;5358221.88;
2023;ELCOMU;COMUNI;803742930445520301;COMUNE DI MONTEROTONDO;80140110588.0;;3;CENTRO;12;LAZIO;58;ROMA;65;MONTEROTONDO;6;ACCENSIONE PRESTITI;300;Accensione Mutui e altri finanziamenti a medio lungo termine;1938793.16;735867.67;-1574.82;1201350.67;1440000.0;;1440000.0;;1440000.0;2475825.19;735867.67;-1739957.52;2641350.67;
2023;ELCOMU;COMUNI;803742930445520301;COMUNE DI MONTEROTONDO;80140110588.0;;3;CENTRO;12;LAZIO;58;ROMA;65;MONTEROTONDO;4;ENTRATE IN CONTO CAPITALE;500;Altre entrate in conto capitale;;;;;1481000.0;1122737.07;1126892.07;-354107.93;4155.0;1147623.92;1122737.07;-24886.85;4155.0;
